Plant group,Taxonomic Division,Family,Genus,Species,NCBI name (if different),Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGE after jan2022,Shipping,Notes
bryophyte,Liverwort,Porellaceae,Porella,cordaeana,,dtol_family_representative,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Porellaceae,Porella,obtusata,,dtol,,,,,,,
bryophyte,Liverwort,Porellaceae,Porella,pinnata,,dtol,,,,,,,
bryophyte,Liverwort,Porellaceae,Porella,platyphylla,,dtol,,,,,,,
bryophyte,Liverwort,Ptilidiaceae,Ptilidium,ciliare,,dtol_family_representative,yes,yes,,,,RBGE_0002,
bryophyte,Liverwort,Ptilidiaceae,Ptilidium,pulcherrimum,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Radulaceae,Radula,aquilegia,,dtol,,,,,,,
bryophyte,Liverwort,Radulaceae,Radula,carringtonii,,dtol,,,,,,,
bryophyte,Liverwort,Radulaceae,Radula,complanata,,dtol_family_representative,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Radulaceae,Radula,holtii,,dtol,,,,,,,
bryophyte,Liverwort,Radulaceae,Radula,lindenbergiana,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Radulaceae,Radula,voluta,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,beyrichiana,,dtol,,,,yes,,RBGE_000019,
bryophyte,Liverwort,Ricciaceae,Riccia,bifurca,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,canaliculata,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,cavernosa,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,crozalsii,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,crystallina,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,fluitans,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,glauca,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,huebeneriana,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,nigrella,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,rhenana,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,sorocarpa,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Ricciaceae,Riccia,subbifurca,,dtol,,,,,,,
bryophyte,Liverwort,Ricciaceae,Ricciocarpos,natans,,dtol,,,,,,,
bryophyte,Liverwort,Saccogynaceae,Saccogyna,viticulosa,,dtol_family_representative,yes,,,,yes,,
bryophyte,Liverwort,Scapaniaceae,Diplophyllum,albicans,,dtol,,yes,,,,RBGE_0002,
bryophyte,Liverwort,Scapaniaceae,Diplophyllum,obtusifolium,,dtol,,,,,,,
bryophyte,Liverwort,Scapaniaceae,Diplophyllum,taxifolium,,dtol,,,,,,,
